,Venue Id,Venue Checkins Count,Venue Checkin User Count,Venue Url,Venue Twitter,Venue Instagram,Venue Phone,Venue Formatted Phone,Venue Rating,Venue Description,Venue Created,Venue Tips Count,Venue Likes Count
0,4bdfd536be5120a15ec2fe70,0,0,http://caddebostan.powerfullclub.com,powerfullclub,,+902163567171,+90 216 356 71 71,7.8,Caddebostan Kültür Merkezi’nde hizmet veren tesisimiz gelen üyenin uzun süre faydalanabileceği bir yer olarak projelendirildi.Tümü spor akademisi mezunu olan uzman ve tecrübeli eğitmen kadromuzla birlikte kişiye özel hazırlanan egzersiz programlarını uygulayabilirsiniz.Olimpiyatlarda kullanılan T...,1272960310,52,209
1,4be31013660ec9287609cb3b,0,0,,,,,,0.0,,1273171987,0,0
2,4be4544d2468c928419dfe42,0,0,,,,,,8.1,,1273254989,11,57
3,4bf78371bb5176b0c3385bb2,0,0,,,,,,8.7,,1274512241,62,264
4,4c62e4dbfa7bc928cc380f27,0,0,http://www.airportmoda.com,,,+902163455846,+90 216 345 58 46,8.1,,1281549531,22,78
5,4caf3964562d224b092c0c88,0,0,,,,,,0.0,,1286551908,3,3
6,4cc444b382388cfae5b46d35,0,0,http://www.gengym.com,,,+902164451900,+90 216 445 19 00,8.6,,1287931059,21,147
7,4cd7fdd2a99d370447c402ce,0,0,,,,,,8.4,,1289223634,27,149
8,4cdad42f6ad1a0931883e856,0,0,,,,,,0.0,,1289409583,1,0
9,4ceeaeff13aea14357206f9f,0,0,http://www.fashionsports.com.tr,sportsfashionn,,+902163407171,+90 216 340 71 71,8.6,,1290710783,151,617
10,4cfbbfacdccef04dd5d2bc9c,0,0,,,,,,0.0,,1291567020,3,0
11,4d09086c43b36ea8260e30ef,0,0,,,,,,6.9,,1292437612,13,79
12,4d0c8f483bbaa14369d336da,0,0,,,,,,0.0,,1292668744,0,0
13,4d0f90e3d467236a82ddbe4a,0,0,,,,,,0.0,,1292865763,0,0
14,4d12179db64da090e96634e7,0,0,http://www.championgym.net,champion_gym,,+902164454543,+90 216 445 45 43,7.9,,1293031325,36,126
15,4d1d1637dbac2c0f0ee83d35,0,0,,,,+902163809961,+90 216 380 99 61,0.0,,1293751863,3,0
16,4d20b24be56f6ea84829771d,0,0,,,,,,0.0,,1293988427,0,0
17,4d21eaa28629224b9e241f87,0,0,,,,,,0.0,,1294068386,0,0
18,4d2dc2b9fd2e236a4d25f3de,0,0,,,,,,5.7,,1294844601,1,5
19,4d372cd44f36a14347344127,0,0,,,,,,0.0,,1295461588,1,0
20,4d3ab90234ee37044fc47a9b,0,0,,,,+902163398001,+90 216 339 80 01,0.0,,1295694082,0,0
21,4d3c163b557d6dcbd05d3744,0,0,,,,,,0.0,,1295783483,0,0
22,4d3c6046457cb60c6e09efa4,0,0,,,,,,0.0,,1295802438,1,0
23,4d3f08f68edf370489f4c9a5,0,0,,,,,,0.0,,1295976694,1,1
24,4d4562141911a09388bce1d8,0,0,,,,,,0.0,,1296392724,2,1
25,4d4944775129a35dd4a337ac,0,0,,,,,,0.0,,1296647287,0,1
26,4d5c2d119c31b60c25fdb1ee,0,0,,,,,,0.0,,1297886481,0,0
27,4d5f5cf39f67f04d840c6cfb,0,0,,,,,,0.0,,1298095347,0,0
28,4d63e6f8dbeb224b7acfa445,0,0,,,,,,0.0,,1298392824,0,1
29,4d653db94e1ea1cd2a334eb9,0,0,,,,,,0.0,,1298480569,0,1
30,4d69018282cba093a20fd5d8,0,0,,,,,,8.3,,1298727298,2,23
31,4d6bde901013236a3dfcb4f9,0,0,http://www.tuncfitness.com,,,+902163628394,+90 216 362 83 94,8.2,"personal training,ems quick fit,power plate,trx,reformer pilates..spor salonu ve fitness merkezi..",1298914960,29,91
32,4d6cf47821acf04d1502493a,0,0,,,,+902167002986,+90 216 700 29 86,0.0,,1298986104,1,0
33,4d7204cdff6ba35dccca678a,0,0,,,,,,0.0,,1299317965,0,0
34,4d7b3e47136bf04d0bac488d,0,0,,,,,,0.0,,1299922503,0,2
35,4d7e3631564b8cfae640ed64,0,0,,,,,,5.2,,1300117041,8,74
36,4d7e50d74219a1cda89360d3,0,0,http://www.pasamsportsclub.com,pasamsports,,+902163868428,+90 216 386 84 28,8.3,,1300123863,22,140
37,4d80f1b71013236aa2d29135,0,0,http://www.b-fit.com.tr,,,+902163557843,+90 216 355 78 43,7.2,,1300296119,3,16
38,4d81c1ee6476a0938e341553,0,0,,,,,,0.0,,1300349422,0,4
39,4d87847d81fdb1f7d84a3ac0,0,0,,,,+902164180886,+90 216 418 08 86,0.0,,1300726909,1,0
40,4d88de47401a224b7b108118,0,0,,,,,,0.0,,1300815431,2,4
41,4d95fb11c19fb60cbde97265,0,0,,,,,,6.1,,1301674769,0,5
42,4d9b4db19199a090d18eda87,0,0,http://www.sportsinternational.com.tr,sportsintclubs,,+902163392500,+90 216 339 25 00,8.1,,1302023601,123,514
43,4da466d17aee5481c5fbfcfe,0,0,,,,+902164149194,+90 216 414 91 94,7.9,,1302619857,4,27
44,4dbbe5b80437955ec02383b6,0,0,,,,,,0.0,,1304159672,2,1
45,4dbea60c815439392fc1b56e,0,0,,,,,,0.0,,1304339980,0,0
46,4dcaf40d52b17cba4f9da256,0,0,,,,,,0.0,,1305146381,1,0
47,4dcaf917fa76d745f04aa97d,0,0,,,,,,0.0,,1305147671,0,0
48,4dcc162b52b17cba4fb74073,0,0,,,,,,0.0,,1305220651,0,0
49,4dd111f2d164679b8d3d7f52,0,0,,,,,,0.0,,1305547250,0,0
50,4def3706d164e99c7b35ae40,0,0,http://www.studiopowerland.com,,,+902164715000,+90 216 471 50 00,0.0,,1307522822,9,4
51,4df0f8cdc65b0270f3a61430,0,0,,,,+902163808855,+90 216 380 88 55,7.4,,1307637965,3,7
52,4df6397414954f21cf372377,0,0,,,,,,0.0,,1307982196,2,1
53,4dfcd1d2b61c84188eee159e,0,0,,,,,,0.0,,1308414418,1,0
54,4e0e6a7be4cd27fc7d2fde3f,0,0,,,,,,7.4,,1309567611,3,26
55,4e11fc61ae602afe96c1b530,0,0,,,,,,0.0,,1309801569,0,0
56,4e17382c62e12640d8693a46,0,0,,,,,,0.0,,1310144556,0,0
57,4e1fe00fc65b2b5e353681a2,0,0,,,,,,0.0,,1310711823,1,0
58,4e25b340d22df6f8887c0dc9,0,0,,,,,,0.0,,1311093568,0,0
59,4e3ad3b1d4c05163b45495cc,0,0,,,,+902163738377,+90 216 373 83 77,6.5,,1312478129,2,11
60,4e42d279483bcb5c2da8042c,0,0,,,,,,0.0,,1313002105,0,3
61,4e48110852b1bac0d98c3035,0,0,,,,,,0.0,,1313345800,0,1
62,4e5658b91838c793c076287c,0,0,,,,,,8.2,,1314281657,2,12
63,4e61df4652b1260c12e0a5e5,0,0,,,,,,0.0,,1315036998,0,1
64,4e663504b993678bb83f5f08,0,0,,,,+902165668947,+90 216 566 89 47,0.0,,1315321092,0,2
65,4e67b15ad4c0d52246350578,0,0,,,,,,0.0,,1315418458,1,3
66,4e6e31f3b9932d7f63dbef4c,0,0,,,,,,0.0,,1315844595,0,2
67,4e70c2feae602b2e726c099e,0,0,,,,,,8.7,,1316012798,4,19
68,4e74b60db993a71aa3611b98,0,0,,,,,,0.0,,1316271629,1,0
69,4e78f32bc65b8073f5bb3910,0,0,,,,,,0.0,,1316549419,0,0
70,4e7ca572d164ebe0f50d98a5,0,0,,,,,,6.9,,1316791666,3,40
71,4e80906bb803e97b5ab5de61,0,0,,,,+902163844900,+90 216 384 49 00,0.0,,1317048427,1,4
72,4e8490cc5c5c9240de8edb7a,0,0,,,,,,0.0,,1317310668,0,2
73,4e89a097b803c964b7c0b102,0,0,,,,,,0.0,,1317642391,0,0
74,4e8cadb730f82b1224bd94b6,0,0,http://www.bujinkanturkey.com,,,,,8.8,,1317842359,7,31
75,4e9064df30f81ec6ff74e7b9,0,0,,,,,,6.7,,1318085855,1,6
76,4e9adc8377c807974c0d88ad,0,0,,,,,,0.0,,1318771843,0,0
77,4e9fd072b80362c66279436c,0,0,,,,,,9.0,,1319096434,5,33
78,4ea03a06d22d6eead8146ed6,0,0,,,,,,5.9,,1319123462,3,9
79,4ea12851e5facb29c6b651cc,0,0,http://www.yogamerkezi.com,istanbulyoga,,+902163688482,+90 216 368 84 82,8.4,Vivekananda Yoga Üniversitesi'nin Türkiye temsilcisidir. Purnam Yayınları Istanbul Yoga Merkezi kuruluşudur..,1319184465,4,19
80,4eaac075f7905c3941608800,0,0,,,,,,8.3,,1319813237,4,13
81,4eb03c0a77c8d1e762221d43,0,0,,,,,,0.0,,1320172554,0,0
82,4eb94f034901cef9da2982d1,0,0,,efe_tanmam,,,,0.0,,1320767235,0,0
83,4eb96bf99a52ad1e409fd197,0,0,,,,,,6.9,,1320774649,0,7
84,4ebb1afcbe7b329d904ec6bf,0,0,http://www.pilatestudio.org,,,,,7.3,,1320884988,3,6
85,4ec1041fe3005ff92a3eb317,0,0,,,,,,7.5,,1321272351,5,16
86,4ec5662ce5fa74ea53610ab5,0,0,,,,,,6.0,,1321559596,1,7
87,4ec697738b81dcfdc25cb502,0,0,,,,,,0.0,,1321637747,0,0
88,4ec69839d3e3e131f1273011,0,0,,,,,,0.0,,1321637945,0,0
89,4ec6a23e0e017e2f98df2861,0,0,,,,,,0.0,,1321640510,1,0
90,4ec7cd922c5b532d0703c88e,0,0,,,,,,6.5,,1321717138,11,6
91,4eceb0c50cd62a61dcda99f3,0,0,,,,,,7.4,,1322168517,10,28
92,4ed61e76722eff15bff9ba3c,0,0,,,,,,0.0,,1322655350,0,0
93,4ed915480aaf49e027f336e5,0,0,,,,,,0.0,,1322849608,0,1
94,4ed915eecc215fbf087175d0,0,0,,,,,,0.0,,1322849774,0,1
95,4ee2553bb8f775b3742073f1,0,0,,,,,,7.6,,1323455803,3,12
96,4eeb66b4c2ee434b71491b7d,0,0,,,,,,8.4,,1324050100,28,85
97,4eeddc829911d70cb84525d6,0,0,,,,,,0.0,,1324211330,0,0
98,4f07ef03e4b0803b684f4016,0,0,,,,,,0.0,,1325920003,1,0
99,4f08617ae4b0cc066c208bc5,0,0,http://www.formstudiosuadiye.com,formstudiosuadi,,+902164091064,+90 216 409 10 64,7.2,,1325949306,4,6
