Venue Id,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category,Unnamed: 0_y,Venue Url,Venue Twitter,Venue Instagram,Venue Formatted Phone,Venue Rating,Venue Description,Venue Created,Venue Tips Count,Venue Likes Count
4b66f145f964a52075312be3,Ci̇hannuma mah,41.047211100000006,29.007438699999998,Turkcell Plaza Fitness Center,41.04822441965268,29.00871466651929,155,Gym,0,,,,,0.0,,1265037637,0,0
4b703459f964a520830b2de3,Bebek mah,41.077743700000006,29.041628600000003,Mars Athletic Club,41.07591915184542,29.038231613780408,350,Gym / Fitness Center,1,http://www.marsathletic.com,mars_athletic,,+90 212 263 86 96,8.8,,1265644633,52,317
4b7aed0ef964a52089462fe3,Eti̇ler mah,41.0870419,29.037264299999997,Hillside City Club,41.08799296097711,29.031091034581486,528,Gym / Fitness Center,2,https://www.hillside.com.tr,hillsideleisure,,+90 212 352 23 33,8.9,,1266347278,129,1088
4ba67962f964a520265639e3,Bebek mah,41.077743700000006,29.041628600000003,Celebrity Fitness,41.081342,29.03598,620,Gym,3,,,,,0.0,,1269201250,0,0
4bc89f2192b376b0bdcb513a,Kultur mah,41.073201899999994,29.0329,Maya sports center,41.07642511066118,29.02915775768115,476,Gym / Fitness Center,4,,,,,0.0,,1271439137,1,0
4be97d20c5220f478ee2aaca,Akat mah,41.085614299999996,29.0256257,Club Sporium,41.086890881476045,29.024003065024285,196,Gym / Fitness Center,5,http://akatlar.clubsporium.com.tr,clubsporium,,+90 212 385 49 10,8.4,Sporla dolu yaşam merkezi,1273593120,236,1135
4c14c74682a3c9b66bbcfdf8,Kultur mah,41.073201899999994,29.0329,Mayadrom Sports Center(MSC),41.07728053515671,29.032697680815467,454,Gym,6,,,,,6.3,,1276430150,24,12
4c37666c93db0f4737b51f92,Vi̇snezade mah,41.0415031,28.9987081,Mars Athletic Club,41.04376499528724,28.99238070971189,587,Gym / Fitness Center,7,http://www.marsathletic.com,mars_athletic,,+90 212 232 44 40,8.6,,1278699116,151,786
4c4ae6c79c8d2d7fe10e316a,Muradi̇ye mah,41.04845039999999,28.9987081,İTÜ Havuz,41.04635421902713,28.99592248122572,330,Gym Pool,8,http://www.itu.edu.tr,itu1773,,,7.9,,1279977159,6,37
4c51ab6b1c67ef3be50f1bb9,Ci̇hannuma mah,41.047211100000006,29.007438699999998,The Alaaddin Club,41.0472598157611,29.00781121320209,31,Gym / Fitness Center,9,,,,+90 212 327 63 93,7.3,,1280420715,6,44
4c585cd0d12a20a1a2d768bd,Akat mah,41.085614299999996,29.0256257,Şişli Terakki Spor Salonu,41.08194566735712,29.024032317117285,429,Gym,10,,,,,7.1,,1280859344,6,57
4c6667d6e75ac9280676f7da,Gayrettepe mah,41.064196200000005,29.006711100000004,Essporto Health & Fitness Club,41.065584954467546,29.01055812835693,357,Gym / Fitness Center,11,http://www.essporto.com,essporto,,+90 212 344 06 66,6.8,,1281779670,344,941
4c6fc3e79c6d6dcba464d07a,Levazim mah,41.06331369999999,29.018351199999998,Korukent Gym,41.06025931172229,29.020800170603696,397,Gym / Fitness Center,12,,,,,7.5,,1282393063,23,103
4c96571203413704ac9483ef,Vi̇snezade mah,41.0415031,28.9987081,Swiss Otel Gym,41.04082141366043,28.997064280627693,157,Gym,13,,,,,7.5,,1284921106,7,35
4c990c719c663704c5bf4cfd,Muradi̇ye mah,41.04845039999999,28.9987081,Action gym,41.052083,28.995858000000002,469,Gym / Fitness Center,14,,,,,0.0,,1285098609,1,1
4cb076a3cbab236adb65a073,Gayrettepe mah,41.064196200000005,29.006711100000004,Point Sports Center,41.06392584214797,29.010653306292387,332,Gym / Fitness Center,15,http://www.pointhotel.com,,,+90 212 337 30 37,7.9,,1286633123,61,296
4cbe86b6021ca143ba06560c,Di̇ki̇li̇tas mah,41.0557351,29.003801,Sportomed,41.05619713102739,28.998301682542,464,Gym / Fitness Center,16,,,,,0.0,,1287554742,3,4
4cc172a6083a9c7440223778,Kultur mah,41.073201899999994,29.0329,U-Time Wellness,41.07124577104091,29.02768461969841,488,Gym / Fitness Center,17,,utimewellness,,,7.1,,1287746214,7,8
4cc70557c844721ec909f801,Levazim mah,41.06331369999999,29.018351199999998,Jandarma Spor Salonu,41.063215797353,29.015418120340108,246,Gym / Fitness Center,18,,,,,0.0,,1288111447,1,1
4cd04f637b685481f3c5c0f8,Akat mah,41.085614299999996,29.0256257,Club Sporium Havuz,41.086680670399375,29.024264780690366,164,Gym Pool,19,http://akatlar.clubsporium.com.tr,,,,8.9,,1288720227,26,105
4ced3a2728abb60ca1b8b609,Ni̇sbeti̇ye mah,41.0717724,29.021261,GfiT,41.072876,29.019238,209,Gym,20,,,,,0.0,,1290615335,0,0
4cf628caf4478eecdc8710b7,Di̇ki̇li̇tas mah,41.0557351,29.003801,BJK Süleyman Seba Spor Salonu,41.05487175258832,29.0019275288295,184,Gym,21,,besiktas,,,8.4,,1291200714,25,210
4cf7e30bd3a8a1cd432fd943,Di̇ki̇li̇tas mah,41.0557351,29.003801,Es-line Pilates Studio,41.05646039089998,28.998502302926287,452,Yoga Studio,22,,,,,7.9,,1291313931,1,12
4cf904d4d76da35d9354ca2c,Akat mah,41.085614299999996,29.0256257,Cihnagir Yoga,41.08695,29.021643,365,Yoga Studio,23,,,,,0.0,,1291388116,0,0
4d1393e2058fa35d3e5d2f9f,Di̇ki̇li̇tas mah,41.0557351,29.003801,Meriç Gym,41.058593,29.006045,369,Gym / Fitness Center,24,,,,,0.0,,1293128674,0,0
4d14493d85fc6dcbaa92964e,Levent mah,41.0818288,29.018351199999998,Cengizhanucgun Pilates,41.08401952477326,29.01358206616785,468,Gym / Fitness Center,25,,,,,0.0,,1293175101,0,1
4d18dc346c8b5481f552f4cc,Di̇ki̇li̇tas mah,41.0557351,29.003801,The One Terrace Sports Club,41.05472040088477,28.998901881174987,426,Gym / Fitness Center,26,,,,+90 212 215 60 70,6.5,,1293474868,86,209
4d29f373915fa093f1a30a0a,Ni̇sbeti̇ye mah,41.0717724,29.021261,Belluve Gym,41.07070533780923,29.01835007884489,271,Gym,27,,,,,0.0,,1294594931,0,4
4d2f2ab9e043548174d8b6ed,Bebek mah,41.077743700000006,29.041628600000003,Beyond Pilates,41.07875709298704,29.03539527872138,535,Gym / Fitness Center,28,,elifit,,,7.4,,1294936761,3,6
4d31776df8c9224b9a31a7d2,Bebek mah,41.077743700000006,29.041628600000003,Etiler Life Gym VIP,41.08135023759447,29.036011899764198,619,Gym / Fitness Center,29,,,,,0.0,,1295087469,0,0
4d3725eac47db1f7532feda5,Levent mah,41.0818288,29.018351199999998,Reflex Point,41.085044,29.020177,389,Yoga Studio,30,,,,,0.0,,1295459818,0,0
