Venue Id,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category,Unnamed: 0_y,Venue Url,Venue Twitter,Venue Instagram,Venue Formatted Phone,Venue Rating,Venue Description,Venue Created,Venue Tips Count,Venue Likes Count
4bdfd536be5120a15ec2fe70,Caddebostan mah,40.96792670000001,29.061993400000002,Powerfull Atlethic Club,40.967526682625326,29.064939705131078,251,Gym,0,http://caddebostan.powerfullclub.com,powerfullclub,,+90 216 356 71 71,7.8,Caddebostan Kültür Merkezi’nde hizmet veren tesisimiz gelen üyenin uzun süre faydalanabileceği bir yer olarak projelendirildi.Tümü spor akademisi mezunu olan uzman ve tecrübeli eğitmen kadromuzla birlikte kişiye özel hazırlanan egzersiz programlarını uygulayabilirsiniz.Olimpiyatlarda kullanılan T...,1272960310,52,209
4be31013660ec9287609cb3b,Rasi̇mpasa mah,40.9960665,29.027080600000005,Sports,41.0003,29.031012,575,Gym,1,,,,,0.0,,1273171987,0,0
4be4544d2468c928419dfe42,Feneryolu mah,40.9819573,29.04890199999999,Eaglestar Fitness and Body Form Club,40.97875071727069,29.047984598646106,365,Gym,2,,,,,8.1,,1273254989,11,57
4bf78371bb5176b0c3385bb2,Osmanaga mah,40.99143170000001,29.027080600000005,Sports Universe,40.988532601270286,29.024473913997173,390,Gym,3,,,,,8.7,,1274512241,62,264
4c62e4dbfa7bc928cc380f27,Caferaga mah,40.9837196,29.0256257,Airport Form Center,40.98536263220272,29.02120798590364,413,Gym / Fitness Center,4,http://www.airportmoda.com,,,+90 216 345 58 46,8.1,,1281549531,22,78
4caf3964562d224b092c0c88,Caddebostan mah,40.96792670000001,29.061993400000002,Sports Time,40.96457370582456,29.06599885194003,502,Gym,5,,,,,0.0,,1286551908,3,3
4cc444b382388cfae5b46d35,19 mayis mah,40.97462609999999,29.0881728,Gengym Health & Fitness,40.974221473633776,29.090556422316993,205,Gym,6,http://www.gengym.com,,,+90 216 445 19 00,8.6,,1287931059,21,147
4cd7fdd2a99d370447c402ce,Kozyatagi mah,40.9691471,29.095444,Max Gym Fitness Studio,40.97137005937557,29.094729118267065,254,Gym / Fitness Center,7,,,,,8.4,,1289223634,27,149
4cdad42f6ad1a0931883e856,Fenerbahce mah,40.97428620000001,29.0430833,Anantara Spa,40.972723003095716,29.043529375507173,178,Gym / Fitness Center,8,,,,,0.0,,1289409583,1,0
4ceeaeff13aea14357206f9f,Kosuyolu mah,41.0090866,29.038719099999998,Fashion Sports Club,41.010069103393405,29.042069479592424,301,Gym / Fitness Center,9,http://www.fashionsports.com.tr,sportsfashionn,,+90 216 340 71 71,8.6,,1290710783,151,617
4cfbbfacdccef04dd5d2bc9c,Suadi̇ye mah,40.963081,29.0838099,Büyükhanli GYM,40.95948848400348,29.08541843749911,422,Gym / Fitness Center,10,,,,,0.0,,1291567020,3,0
4d09086c43b36ea8260e30ef,Suadi̇ye mah,40.963081,29.0838099,Miltaş Spor Külübü,40.959465896615406,29.087121406486396,489,Gym,11,,,,,6.9,,1292437612,13,79
4d0c8f483bbaa14369d336da,Feneryolu mah,40.9819573,29.04890199999999,Power Fitness Center,40.97838882988855,29.05175735744897,464,Gym,12,,,,,0.0,,1292668744,0,0
4d0f90e3d467236a82ddbe4a,Feneryolu mah,40.9819573,29.04890199999999,Kempinski Spa Cadde,40.982818,29.045389,310,Gym / Fitness Center,13,,,,,0.0,,1292865763,0,0
4d12179db64da090e96634e7,Bostanci mah,40.9583172,29.096898200000002,Champion Gym Health & Fitness Club,40.95976765965697,29.09213986659914,431,Gym / Fitness Center,14,http://www.championgym.net,champion_gym,,+90 216 445 45 43,7.9,,1293031325,36,126
4d1d1637dbac2c0f0ee83d35,19 mayis mah,40.97462609999999,29.0881728,The Club Gym,40.97716928037858,29.09253773752933,463,Gym,15,,,,+90 216 380 99 61,0.0,,1293751863,3,0
4d20b24be56f6ea84829771d,Suadi̇ye mah,40.963081,29.0838099,Altin Bilek Apartmani,40.966248603550746,29.085170453655767,370,Track,16,,,,,0.0,,1293988427,0,0
4d21eaa28629224b9e241f87,Kozyatagi mah,40.9691471,29.095444,GYM,40.96703461204401,29.0952730178833,235,Gym,17,,,,,0.0,,1294068386,0,0
4d2dc2b9fd2e236a4d25f3de,Kozyatagi mah,40.9691471,29.095444,Timur Gym,40.970723396528356,29.097131939560107,225,Gym / Fitness Center,18,,,,,5.7,,1294844601,1,5
4d372cd44f36a14347344127,Suadi̇ye mah,40.963081,29.0838099,Slimming Center,40.958512,29.084415000000003,511,Gym / Fitness Center,19,,,,,0.0,,1295461588,1,0
4d3ab90234ee37044fc47a9b,Kosuyolu mah,41.0090866,29.038719099999998,Nadir Bozoğlu Sağlıklı Yaşam Danışmanlığı,41.009937092832345,29.036028343455406,245,Gym / Fitness Center,20,,,,+90 216 339 80 01,0.0,,1295694082,0,0
4d3c163b557d6dcbd05d3744,Bostanci mah,40.9583172,29.096898200000002,Bizden 1e,40.955818254303075,29.09444141670218,346,Yoga Studio,21,,,,,0.0,,1295783483,0,0
4d3c6046457cb60c6e09efa4,Zuhtupasa mah,40.9859157,29.038719099999998,Academic Gym,40.982604436287254,29.037164887084888,391,Gym,22,,,,,0.0,,1295802438,1,0
4d3f08f68edf370489f4c9a5,Kosuyolu mah,41.0090866,29.038719099999998,Fashion Studio,41.01124288873967,29.042000785916233,365,Yoga Studio,23,,,,,0.0,,1295976694,1,1
4d4562141911a09388bce1d8,Fenerbahce mah,40.97428620000001,29.0430833,Jiva,40.97660079156185,29.048608358828172,531,Yoga Studio,24,,,,,0.0,,1296392724,2,1
4d4944775129a35dd4a337ac,19 mayis mah,40.97462609999999,29.0881728,Tunc spor,40.970446,29.087702,467,Gym,25,,,,,0.0,,1296647287,0,1
4d5c2d119c31b60c25fdb1ee,Zuhtupasa mah,40.9859157,29.038719099999998,Rock GYM,40.986872,29.034817999999998,344,Gym / Fitness Center,26,,,,,0.0,,1297886481,0,0
4d5f5cf39f67f04d840c6cfb,Bostanci mah,40.9583172,29.096898200000002,alp yoga,40.9575516618143,29.101314743623124,380,Yoga Studio,27,,,,,0.0,,1298095347,0,0
4d63e6f8dbeb224b7acfa445,19 mayis mah,40.97462609999999,29.0881728,First Step Powerplate,40.97428071530568,29.092930379176032,401,Gym,28,,,,,0.0,,1298392824,0,1
4d653db94e1ea1cd2a334eb9,Fenerbahce mah,40.97428620000001,29.0430833,Istanbul-Kadiköy Özel Kalamis Sanat Merkezi Bale Kursu,40.97674459017106,29.041302271737838,311,Gym / Fitness Center,29,,,,,0.0,,1298480569,0,1
4d69018282cba093a20fd5d8,Caddebostan mah,40.96792670000001,29.061993400000002,Merih Kenet Yoga Stüdyosu,40.97062820965702,29.061776384558467,301,Yoga Studio,30,,,,,8.3,,1298727298,2,23
4d6bde901013236a3dfcb4f9,19 mayis mah,40.97462609999999,29.0881728,Tunç Gym,40.970613708670506,29.087639971919828,448,Gym / Fitness Center,31,http://www.tuncfitness.com,,,+90 216 362 83 94,8.2,"personal training,ems quick fit,power plate,trx,reformer pilates..spor salonu ve fitness merkezi..",1298914960,29,91
4d6cf47821acf04d1502493a,Caferaga mah,40.9837196,29.0256257,Balance Point Pilates Studio Moda,40.98027580434377,29.023861115779663,411,Yoga Studio,32,,,,+90 216 700 29 86,0.0,,1298986104,1,0
4d7204cdff6ba35dccca678a,Erenkoy mah,40.973194899999996,29.0765381,Fitness Club,40.97297148994139,29.076200032003822,37,Gym,33,,,,,0.0,,1299317965,0,0
4d7b3e47136bf04d0bac488d,Osmanaga mah,40.99143170000001,29.027080600000005,Bogazici Sualti Arastirma Merkezi,40.99230015,29.03152385,385,Gym,34,,,,,0.0,,1299922503,0,2
4d7e3631564b8cfae640ed64,Dumlupinar mah,40.9942188,29.05908429999999,Şampiyon Spor Tesisleri,40.99893331501115,29.06216671093996,585,Gym,35,,,,,5.2,,1300117041,8,74
4d7e50d74219a1cda89360d3,Suadi̇ye mah,40.963081,29.0838099,Paşam Fitness & Health Club,40.96302034246651,29.07665242675041,601,Gym,36,http://www.pasamsportsclub.com,pasamsports,,+90 216 386 84 28,8.3,,1300123863,22,140
4d80f1b71013236aa2d29135,Erenkoy mah,40.973194899999996,29.0765381,B-fit,40.970333334834216,29.0805981592092,466,Gym,37,http://www.b-fit.com.tr,,,+90 216 355 78 43,7.2,,1300296119,3,16
4d81c1ee6476a0938e341553,Caferaga mah,40.9837196,29.0256257,Nefess Atolye,40.982454213205145,29.026792802049,171,Yoga Studio,38,,,,,0.0,,1300349422,0,4
4d87847d81fdb1f7d84a3ac0,Fenerbahce mah,40.97428620000001,29.0430833,P&L Better Studio,40.9790487124154,29.041625739297423,544,Gym,39,,,,+90 216 418 08 86,0.0,,1300726909,1,0
